,year,avg_temp
0,1796,8.27
1,1797,8.51
2,1798,8.67
3,1799,8.51
4,1800,8.48
5,1801,8.59
6,1802,8.58
7,1803,8.5
8,1804,8.84
9,1805,8.56
10,1806,8.43
11,1807,8.28
12,1808,7.63
13,1809,7.08
14,1810,6.92
15,1811,6.86
16,1812,7.05
17,1813,7.74
18,1814,7.59
19,1815,7.24
20,1816,6.94
21,1817,6.98
22,1818,7.83
23,1819,7.37
24,1820,7.62
25,1821,8.09
26,1822,8.19
27,1823,7.72
28,1824,8.55
29,1825,8.39
30,1826,8.36
31,1827,8.81
32,1828,8.17
33,1829,7.94
34,1830,8.52
35,1831,7.64
36,1832,7.45
37,1833,8.01
38,1834,8.15
39,1835,7.39
40,1836,7.7
41,1837,7.38
42,1838,7.51
43,1839,7.63
44,1840,7.8
45,1841,7.69
46,1842,8.02
47,1843,8.17
48,1844,7.65
49,1845,7.85
50,1846,8.55
51,1847,8.09
52,1848,7.98
53,1849,7.98
54,1850,7.9
55,1851,8.18
56,1852,8.1
57,1853,8.04
58,1854,8.21
59,1855,8.11
60,1856,8.0
61,1857,7.76
62,1858,8.1
63,1859,8.25
64,1860,7.96
65,1861,7.85
66,1862,7.56
67,1863,8.11
68,1864,7.98
69,1865,8.18
70,1866,8.29
71,1867,8.44
72,1868,8.25
73,1869,8.43
74,1870,8.2
75,1871,8.12
76,1872,8.19
77,1873,8.35
78,1874,8.43
79,1875,7.86
80,1876,8.08
81,1877,8.54
82,1878,8.83
83,1879,8.17
84,1880,8.12
85,1881,8.27
86,1882,8.13
87,1883,7.98
88,1884,7.77
89,1885,7.92
90,1886,7.95
91,1887,7.91
92,1888,8.09
93,1889,8.32
94,1890,7.97
95,1891,8.02
96,1892,8.07
97,1893,8.06
98,1894,8.16
99,1895,8.15
100,1896,8.21
101,1897,8.29
102,1898,8.18
103,1899,8.4
104,1900,8.5
105,1901,8.54
106,1902,8.3
107,1903,8.22
108,1904,8.09
109,1905,8.23
110,1906,8.38
111,1907,7.95
112,1908,8.19
113,1909,8.18
114,1910,8.22
115,1911,8.18
116,1912,8.17
117,1913,8.3
118,1914,8.59
119,1915,8.59
120,1916,8.23
121,1917,8.02
122,1918,8.13
123,1919,8.38
124,1920,8.36
125,1921,8.57
126,1922,8.41
127,1923,8.42
128,1924,8.51
129,1925,8.53
130,1926,8.73
131,1927,8.52
132,1928,8.63
133,1929,8.24
134,1930,8.63
135,1931,8.72
136,1932,8.71
137,1933,8.34
138,1934,8.63
139,1935,8.52
140,1936,8.55
141,1937,8.7
142,1938,8.86
143,1939,8.76
144,1940,8.76
145,1941,8.77
146,1942,8.73
147,1943,8.76
148,1944,8.85
149,1945,8.58
150,1946,8.68
151,1947,8.8
152,1948,8.75
153,1949,8.59
154,1950,8.37
155,1951,8.63
156,1952,8.64
157,1953,8.87
158,1954,8.56
159,1955,8.63
160,1956,8.28
161,1957,8.73
162,1958,8.77
163,1959,8.73
164,1960,8.58
165,1961,8.8
166,1962,8.75
167,1963,8.86
168,1964,8.41
169,1965,8.53
170,1966,8.6
171,1967,8.7
172,1968,8.52
173,1969,8.6
174,1970,8.7
175,1971,8.6
176,1972,8.5
177,1973,8.95
178,1974,8.47
179,1975,8.74
180,1976,8.35
181,1977,8.85
182,1978,8.69
183,1979,8.73
184,1980,8.98
185,1981,9.17
186,1982,8.64
187,1983,9.03
188,1984,8.69
189,1985,8.66
190,1986,8.83
191,1987,8.99
192,1988,9.2
193,1989,8.92
194,1990,9.23
195,1991,9.18
196,1992,8.84
197,1993,8.87
198,1994,9.04
199,1995,9.35
200,1996,9.04
201,1997,9.2
202,1998,9.52
203,1999,9.29
204,2000,9.2
205,2001,9.41
206,2002,9.57
207,2003,9.53
208,2004,9.32
209,2005,9.7
210,2006,9.53
211,2007,9.73
212,2008,9.43
213,2009,9.51
214,2010,9.7
215,2011,9.52
216,2012,9.51
217,2013,9.61
